id,y
1,6
2,4
3,1
4,7
5,9
6,3
7,6
8,8
9,1
10,4
11,2
12,8
13,1
14,1
15,4
16,1
17,2
18,4
19,4
20,2
21,2
22,2
23,7
24,8
25,9
26,4
27,7
28,1
29,1
30,8
31,6
32,1
33,8
34,6
35,3
36,3
37,5
38,8
39,4
40,1
41,1
42,2
43,7
44,4
45,8
46,1
47,4
48,7
49,3
50,1
51,1
52,2
53,1
54,7
55,9
56,1
57,6
58,4
59,1
60,7
61,6
62,3
63,4
64,1
65,8
66,8
67,1
68,3
69,3
70,1
71,6
72,1
73,8
74,6
75,8
76,6
77,1
78,8
79,6
80,8
81,8
82,1
83,8
84,1
85,8
86,1
87,2
88,6
89,2
90,5
91,5
92,1
93,1
94,8
95,6
96,4
97,4
98,8
99,9
100,8
101,5
102,4
103,8
104,9
105,2
106,1
107,8
108,1
109,1
110,8
111,8
112,9
113,5
114,5
115,6
116,5
117,2
118,8
119,4
120,2
121,3
122,6
123,5
124,2
125,9
126,3
127,9
128,8
129,4
130,1
131,2
132,3
133,9
134,2
135,2
136,7
137,8
138,6
139,1
140,5
141,1
142,2
143,7
144,6
145,8
146,3
147,5
148,8
149,8
150,2
151,7
152,8
153,1
154,2
155,6
156,6
157,3
158,2
159,1
160,9
161,3
162,8
163,6
164,9
165,6
166,1
167,2
168,4
169,4
170,9
171,1
172,6
173,4
174,1
175,8
176,1
177,7
178,7
179,3
180,1
181,8
182,8
183,7
184,5
185,1
186,8
187,1
188,8
189,9
190,3
191,4
192,1
193,6
194,1
195,6
196,1
197,1
198,7
199,8
200,9
201,8
202,2
203,1
204,6
205,6
206,8
207,4
208,1
209,8
210,6
211,1
212,4
213,8
214,7
215,5
216,5
217,4
218,2
219,8
220,1
221,2
222,8
223,2
224,1
225,8
226,7
227,3
228,1
229,6
230,5
231,1
232,1
233,9
234,5
235,7
236,7
237,6
238,1
239,1
240,8
241,9
242,5
243,7
244,8
245,5
246,5
247,8
248,1
249,3
250,3
251,2
252,8
253,1
254,8
255,6
256,3
257,6
258,1
259,1
260,1
261,2
262,6
263,1
264,6
265,6
266,9
267,5
268,7
269,8
270,3
271,3
272,4
273,8
274,4
275,8
276,1
277,8
278,1
279,3
280,6
281,1
282,1
283,4
284,8
285,2
286,8
287,8
288,1
289,9
290,6
291,6
292,1
293,8
294,8
295,1
296,3
297,6
298,3
299,1
300,1
301,9
302,7
303,1
304,8
305,7
306,4
307,1
308,1
309,8
310,8
311,1
312,8
313,1
314,6
315,6
316,8
317,1
318,8
319,8
320,9
321,1
322,4
323,1
324,7
325,7
326,3
327,1
328,7
329,1
330,8
331,1
332,1
333,8
334,9
335,6
336,1
337,3
338,8
339,1
340,1
341,1
342,2
343,1
344,6
345,8
346,6
347,8
348,6
349,3
350,5
351,1
352,7
353,1
354,1
355,7
356,4
357,2
358,4
359,1
360,1
361,9
362,4
363,1
364,2
365,6
366,1
367,1
368,2
369,8
370,8
371,1
372,2
373,2
374,2
375,6
376,9
377,1
378,8
379,1
380,4
381,2
382,5
383,6
384,1
385,6
386,7
387,8
388,8
389,1
390,1
391,4
392,2
393,6
394,9
395,3
396,1
397,8
398,6
399,2
400,8
401,8
402,5
403,6
404,3
405,1
406,6
407,6
408,1
409,5
410,8
411,8
412,4
413,4
414,8
415,5
416,5
417,7
418,1
419,1
420,8
421,5
422,6
423,1
424,7
425,6
426,3
427,1
428,9
429,1
430,3
431,9
432,7
433,2
434,7
435,3
436,3
437,8
438,2
439,9
440,5
441,9
442,7
443,9
444,6
445,6
446,1
447,8
448,5
449,7
450,4
451,6
452,9
453,8
454,3
455,4
456,8
457,8
458,1
459,1
460,8
461,2
462,9
463,2
464,6
465,9
466,4
467,1
468,3
469,2
470,9
471,8
472,1
473,4
474,7
475,1
476,7
477,1
478,1
479,6
480,8
481,9
482,1
483,2
484,2
485,8
486,7
487,4
488,9
489,3
490,1
491,4
492,7
493,2
494,1
495,6
496,8
497,3
498,1
499,2
500,1
501,1
502,6
503,1
504,9
505,1
506,4
507,9
508,2
509,6
510,5
511,9
512,2
513,9
514,1
515,6
516,8
517,8
518,1
519,9
520,4
521,6
522,3
523,3
524,1
525,9
526,4
527,5
528,6
529,7
530,6
531,8
532,6
533,3
534,4
535,8
536,1
537,6
538,1
539,8
540,8
541,1
542,2
543,7
544,6
545,8
546,8
547,1
548,2
549,8
550,9
551,7
552,6
553,5
554,4
555,8
556,1
557,7
558,1
559,8
560,9
561,4
562,9
563,7
564,4
565,2
566,1
567,2
568,1
569,1
570,6
571,8
572,9
573,1
574,6
575,9
576,8
577,7
578,8
579,7
580,2
581,1
582,5
583,6
584,1
585,1
586,1
587,1
588,1
589,5
590,8
591,1
592,4
593,3
594,1
595,4
596,8
597,8
598,6
599,9
600,6
601,5
602,9
603,6
604,7
605,1
606,7
607,1
608,8
609,4
610,1
611,8
612,7
613,5
614,3
615,1
616,1
617,8
618,6
619,1
620,8
621,9
622,3
623,8
624,6
625,8
626,2
627,6
628,8
629,8
630,1
631,2
632,5
633,8
634,6
635,6
636,5
637,3
638,8
639,6
640,4
641,7
642,6
643,6
644,7
645,8
646,2
647,3
648,8
649,2
650,1
651,6
652,9
653,6
654,1
655,1
656,4
657,7
658,7
659,1
660,9
661,8
662,8
663,1
664,8
665,1
666,7
667,6
668,8
669,8
670,5
671,3
672,3
673,1
674,2
675,1
676,8
677,5
678,1
679,7
680,8
681,5
682,5
683,9
684,1
685,8
686,8
687,4
688,7
689,1
690,1
691,2
692,2
693,7
694,6
695,2
696,9
697,8
698,1
699,8
700,1
701,6
702,1
703,7
704,8
705,1
706,2
707,1
708,6
709,4
710,1
711,8
712,6
713,6
714,1
715,1
716,8
717,1
718,5
719,1
720,6
721,7
722,7
723,8
724,9
725,6
726,8
727,1
728,1
729,7
730,6
731,2
732,2
733,3
734,1
735,9
736,1
737,8
738,8
739,5
740,7
741,1
742,7
743,6
744,2
745,1
746,6
747,4
748,6
749,1
750,1
751,4
752,7
753,2
754,3
755,4
756,1
757,7
758,8
759,4
760,4
761,1
762,1
763,7
764,5
765,8
766,1
767,7
768,1
769,2
770,8
771,8
772,1
773,5
774,6
775,7
776,1
777,1
778,8
779,4
780,2
781,6
782,6
783,2
784,8
785,9
786,2
787,4
788,8
789,9
790,7
791,1
792,9
793,8
794,5
795,2
796,1
797,1
798,8
799,8
800,9
801,1
802,6
803,3
804,9
805,6
806,1
807,6
808,1
809,9
810,8
811,1
812,6
813,6
814,7
815,1
816,7
817,7
818,3
819,2
820,1
821,1
822,1
823,2
824,9
825,8
826,1
827,4
828,4
829,8
830,1
831,8
832,1
833,1
834,7
835,5
836,7
837,5
838,9
839,1
840,3
841,6
842,1
843,6
844,1
845,4
846,8
847,9
848,8
849,8
850,6
851,8
852,4
853,1
854,9
855,1
856,6
857,5
858,5
859,8
860,2
861,8
862,4
863,6
864,6
865,1
866,3
867,6
868,1
869,5
870,1
871,9
872,6
873,8
874,5
875,6
876,5
877,7
878,1
879,1
880,2
881,6
882,1
883,7
884,1
885,1
886,6
887,5
888,8
889,1
890,9
891,7
892,3
893,1
894,1
895,2
896,1
897,1
898,2
899,1
900,4
901,8
902,1
903,4
904,8
905,8
906,1
907,6
908,1
909,7
910,8
911,8
912,1
913,1
914,6
915,1
916,1
917,8
918,8
919,1
920,7
921,4
922,5
923,4
924,1
925,7
926,8
927,6
928,6
929,2
930,6
931,5
932,8
933,7
934,1
935,9
936,2
937,1
938,8
939,4
940,3
941,1
942,8
943,6
944,8
945,1
946,2
947,9
948,1
949,4
950,8
951,1
952,1
953,4
954,6
955,8
956,2
957,8
958,7
959,6
960,1
961,8
962,8
963,9
964,4
965,1
966,9
967,1
968,1
969,1
970,8
971,4
972,6
973,4
974,4
975,9
976,1
977,2
978,4
979,3
980,8
981,9
982,1
983,1
984,9
985,1
986,8
987,8
988,1
989,9
990,3
991,7
992,2
993,1
994,8
995,1
996,7
997,8
998,4
999,9
1000,3
1001,1
1002,6
1003,8
1004,8
1005,6
1006,1
1007,7
1008,4
1009,8
1010,1
1011,8
1012,4
1013,4
1014,9
1015,5
1016,5
1017,1
1018,1
1019,9
1020,6
1021,9
1022,8
1023,3
1024,9
1025,4
1026,2
1027,4
1028,5
1029,1
1030,4
1031,6
1032,8
1033,1
1034,9
1035,8
1036,6
1037,1
1038,1
1039,1
1040,5
1041,1
1042,4
1043,8
1044,1
1045,2
1046,8
1047,6
1048,1
1049,8
1050,9
1051,7
1052,9
1053,5
1054,8
1055,9
1056,4
1057,8
1058,8
1059,7
1060,7
1061,4
1062,1
1063,3
1064,1
1065,7
1066,4
1067,6
1068,1
1069,8
1070,3
1071,6
1072,8
1073,3
1074,3
1075,9
1076,8
1077,8
1078,8
1079,3
1080,6
1081,6
1082,5
1083,8
1084,9
1085,2
1086,8
1087,8
1088,8
1089,1
1090,9
1091,2
1092,1
1093,1
1094,8
1095,7
1096,6
1097,6
1098,7
1099,6
1100,8
1101,1
1102,9
1103,2
1104,7
1105,9
1106,8
1107,2
1108,8
1109,5
1110,1
1111,8
1112,8
1113,3
1114,3
1115,1
1116,8
1117,8
1118,3
1119,1
1120,8
1121,1
1122,3
1123,8
1124,1
1125,5
1126,8
1127,4
1128,8
1129,5
1130,8
1131,2
1132,3
1133,6
1134,1
1135,1
1136,1
1137,1
1138,4
1139,8
1140,1
1141,1
1142,3
1143,6
1144,8
1145,5
1146,5
1147,7
1148,3
1149,8
1150,1
1151,6
1152,6
1153,8
1154,7
1155,1
1156,8
1157,6
1158,4
1159,8
1160,1
1161,1
1162,6
1163,6
1164,1
1165,6
1166,5
1167,8
1168,1
1169,1
1170,1
1171,8
1172,5
1173,8
1174,5
1175,3
1176,1
1177,9
1178,2
1179,5
1180,4
1181,9
1182,8
1183,1
1184,6
1185,1
1186,8
1187,9
1188,8
1189,6
1190,6
1191,6
1192,5
1193,2
1194,7
1195,1
1196,4
1197,1
1198,8
1199,1
1200,1
1201,4
1202,8
1203,1
1204,7
1205,8
1206,9
1207,1
1208,7
1209,1
1210,6
1211,8
1212,8
1213,8
1214,5
1215,4
1216,1
1217,8
1218,8
1219,8
1220,4
1221,8
1222,5
1223,4
1224,1
1225,1
1226,8
1227,1
1228,6
1229,1
1230,1
1231,1
1232,6
1233,8
1234,6
1235,8
1236,8
1237,6
1238,8
1239,8
1240,8
1241,8
1242,1
1243,1
1244,1
1245,5
1246,8
1247,6
1248,1
1249,4
1250,2
1251,1
1252,8
1253,4
1254,9
1255,1
1256,7
1257,3
1258,8
1259,6
1260,8
1261,5
1262,6
1263,1
1264,1
1265,6
1266,7
1267,1
1268,8
1269,8
1270,8
1271,9
1272,4
1273,1
1274,1
1275,7
1276,5
1277,5
1278,7
1279,6
1280,3
1281,3
1282,1
1283,1
1284,6
1285,1
1286,7
1287,3
1288,8
1289,1
1290,1
1291,9
1292,1
1293,1
1294,7
1295,8
1296,1
1297,8
1298,1
1299,9
1300,1
1301,1
1302,6
1303,6
1304,8
1305,4
1306,4
1307,6
1308,2
1309,4
1310,4
1311,1
1312,8
1313,7
1314,7
1315,1
1316,5
1317,6
1318,8
1319,6
1320,5
1321,1
1322,9
1323,5
1324,4
1325,1
1326,6
1327,1
1328,5
1329,4
1330,9
1331,1
1332,1
1333,8
1334,4
1335,8
1336,1
1337,3
1338,8
1339,2
1340,1
1341,7
1342,8
1343,4
1344,3
1345,8
1346,8
1347,7
1348,7
1349,4
1350,2
1351,5
1352,5
1353,6
1354,9
1355,1
1356,4
1357,1
1358,1
1359,6
1360,1
1361,5
1362,7
1363,1
1364,1
1365,3
1366,1
1367,7
1368,4
1369,1
1370,2
1371,1
1372,1
1373,2
1374,5
1375,4
1376,1
1377,3
1378,7
1379,5
1380,7
1381,6
1382,6
1383,6
1384,6
1385,9
1386,1
1387,1
1388,9
1389,4
1390,8
1391,8
1392,8
1393,1
1394,8
1395,1
1396,7
1397,6
1398,6
1399,1
1400,8
1401,9
1402,6
1403,3
1404,4
1405,1
1406,8
1407,8
1408,1
1409,3
1410,4
1411,4
1412,3
1413,4
1414,2
1415,5
1416,9
1417,3
1418,4
1419,8
1420,3
1421,5
1422,6
1423,8
1424,7
1425,8
1426,2
1427,1
1428,8
1429,8
1430,3
1431,2
1432,1
1433,9
1434,7
1435,1
1436,7
1437,2
1438,9
1439,5
1440,8
1441,1
1442,7
1443,4
1444,3
1445,8
1446,2
1447,5
1448,4
1449,9
1450,8
1451,6
1452,8
1453,9
1454,1
1455,8
1456,7
1457,5
1458,7
1459,4
1460,6
1461,2
1462,6
1463,1
1464,6
1465,6
1466,8
1467,2
1468,7
1469,1
1470,1
1471,1
1472,1
1473,1
1474,3
1475,2
1476,2
1477,1
1478,3
1479,8
1480,1
1481,1
1482,6
1483,1
1484,4
1485,1
1486,2
1487,3
1488,5
1489,4
1490,8
1491,5
1492,7
1493,4
1494,8
1495,8
1496,1
1497,1
1498,1
1499,5
1500,2
1501,7
1502,4
1503,6
1504,7
1505,4
1506,6
1507,1
1508,8
1509,1
1510,1
1511,3
1512,6
1513,8
1514,8
1515,3
1516,1
1517,4
1518,1
1519,5
